Rk,Tm,G,PF,TotTO,FL,TotPaYds,PaTD,Int,Pa1stD,PaYds/G,TotRuYds,RuYds/G,RuTD,Ru1stD,FirstbyPen,Tot1stD
1,Minnesota Vikings,16,252,19,5,3078,13,14,168,192.375,1337,83.5625,10,59,33,260
2,Jacksonville Jaguars,16,268,33,12,2718,17,21,143,169.875,1860,116.25,9,91,23,257
3,Los Angeles Chargers,16,272,27,9,3156,17,18,153,197.25,2098,131.125,11,99,30,282
4,Philadelphia Eagles,16,295,31,12,3637,24,19,177,227.3125,1267,79.1875,7,62,33,272
5,New England Patriots,16,296,18,6,4020,24,12,204,251.25,1836,114.75,6,98,23,325
6,Baltimore Ravens,16,303,34,12,3421,18,22,179,213.8125,1780,111.25,12,87,30,296
7,Pittsburgh Steelers,16,308,22,6,3217,20,16,157,201.0625,1693,105.8125,14,89,24,270
8,Atlanta Falcons,16,315,16,8,3429,22,8,197,214.3125,1665,104.0625,9,97,29,323
9,Chicago Bears,16,320,22,14,3376,18,8,180,211,1730,108.125,10,85,33,298
10,New Orleans Saints,16,326,25,5,3597,22,20,172,224.8125,1787,111.6875,11,92,44,308
11,Carolina Panthers,16,327,21,11,3665,25,10,187,229.0625,1409,88.0625,7,69,26,282
12,Los Angeles Rams,16,329,28,10,3475,21,18,181,217.1875,1957,122.3125,15,86,33,300
13,Dallas Cowboys,16,332,21,11,3425,28,10,181,214.0625,1664,104,7,96,35,312
14,Seattle Seahawks,16,332,25,11,3347,19,14,181,209.1875,1824,114,14,90,45,316
15,Kansas City Chiefs,16,339,26,10,3952,23,16,204,247,1890,118.125,15,112,36,352
16,Cincinnati Bengals,16,349,14,3,3379,20,11,173,211.1875,2046,127.875,13,111,41,325
17,Tennessee Titans,16,356,21,9,3828,27,12,231,239.25,1420,88.75,5,68,24,323
18,Buffalo Bills,16,359,25,7,3688,14,18,199,230.5,1994,124.625,22,121,28,348
19,Arizona Cardinals,16,361,21,6,3541,24,15,187,221.3125,1432,89.5,12,68,28,283
20,Oakland Raiders,16,373,14,9,3858,24,5,187,241.125,1743,108.9375,11,93,24,304
21,Detroit Lions,16,376,32,13,3892,21,19,205,243.25,1800,112.5,18,109,35,349
22,Tampa Bay Buccaneers,16,382,26,13,4169,22,13,202,260.5625,1880,117.5,17,102,23,327
23,New York Jets,16,382,20,9,3749,30,11,191,234.3125,1887,117.9375,13,88,50,329
24,Denver Broncos,16,382,17,7,3210,29,10,166,200.625,1430,89.375,9,68,32,266
25,San Francisco 49ers,16,383,20,10,3764,27,10,198,235.25,1861,116.3125,13,108,37,343
26,Green Bay Packers,16,384,22,11,3789,30,11,211,236.8125,1793,112.0625,10,95,25,331
27,Washington Redskins,16,388,23,7,3420,23,16,171,213.75,2146,134.125,13,105,31,307
28,New York Giants,16,388,19,6,4038,32,13,189,252.375,1933,120.8125,10,101,23,313
29,Miami Dolphins,16,393,15,6,3603,26,9,190,225.1875,1768,110.5,14,88,41,319
30,Indianapolis Colts,16,404,20,7,3946,23,13,192,246.625,1927,120.4375,15,99,33,324
31,Cleveland Browns,16,410,13,6,3684,28,7,189,230.25,1566,97.875,14,95,31,315
32,Houston Texans,16,436,16,5,3799,30,11,176,237.4375,1747,109.1875,14,88,37,301
33,League Total,0,11120,706,276,114870,741,430,5921,0,56170,0,380,2919,1020,9860
